1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q0.id,q1.Sex,q2.Birth,q3.Post1a,q3.Start1,q3.End1,q3.Post2a,q3.Start2,q3.End2,q3.Post3a,q3.Start3,q3.End3,q3.Post4a,q3.Start4,q3.End4,q3.Post5a,q3.Start5,q3.End5,q3.Post6a,q3.Start6,q3.End6,q3.Post7a,q3.Start7,q3.End7,q3.Post8a,q3.Start8,q3.End8,u1950,u1951,u1952,u1953,u1954,u1955,u1956,u1957,u1958,u1959,u1960,u1961,u1962,u1963,u1964,u1965,u1966,u1967,u1968,u1969,u1970,u1971,u1972,u1973,u1974,u1975,u1976,u1977,u1978,u1979,u1980,u1981,u1982,u1983,u1984,u1985,u1986,u1987,u1988,u1989,u1990,u1991,u1992,u1993,u1994,u1995,u1996,u1997,u1998,u1999,u2000,u2001,u2002,u2003,u2004,u2005,u2006,u2007,u2008,u2009,u2010,u2011,u2012,PoOrNotPo,q5.FirstExperience,q8.Period1Start,q8.Period1End,q8.Period1Heures,q8.Period2Start,q8.Period2End,q8.Period2Heures,q8.Period3Start,q8.Period3End,q8.Period3Heures,q8.Period4Start,q8.Period4End,q8.Period4Heures,q8.Period5Start,q8.Period5End,q8.Period5Heures,q11.WomenAction.demonst,q11.WomenAction.Negoc,q11.WomenAction.Strike,q11.WomenAction.Lobb,q11.WomenAction.Medias,q11.WomenAction.petition,q11.WomenAction.ReadersContrib,q11.WomenAction.Speech,q11.WomenAction.LegalAdvice,q11.WomenAction.TakingPosition,q13.PartyMembership,q13.Party,q14.Assoc,q17.Protest.Petition.Doing,q17.Protest.Petition.efficace,q17.Protest.MeetRep.Doing,q17.Protest.MeetRep.Efficient,q17.Protest.Badge.Doing,q17.Protest.Badge.Efficient,q17.Protest.Impots.Doing,q17.Protest.Impots.Efficient,q17.Protest.Demonst.Doing,q17.Protest.Demonst.Efficient,q17.Protest.DrawingSlogans.Doing,q17.Protest.DrawingSlogans.Efficient,q17.Protest.Occupy.Doing,q17.Protest.Occupy.Efficient,q17.Protest.Harm.Doing,q17.Protest.Harm.Efficient,q17.Protest.Strike.Doing,q17.Protest.Strike.Efficient,q17.Protest.ViolenceToIndiv.Doing,q17.Protest.ViolenceToIndiv.Efficient,q17.Protest.Web.Doing,q17.Protest.Web.Efficient,q17.Protest.Petition.Doing,q17.Protest.Petition.Efficient,q17.Protest.Inititative.Doing,q17.Protest.Inititative.Efficient,q20.Couple,q20.Union1,q20.Union1.Start,q20.Union1.End,q20.Union2,q20.Union2.Start,q20.Union2.End,q20.Union3,q20.Union3.Start,q20.Union3.End,q20.Union4,q20.Union4.Start,q20.Union4.End,q20.Union5.Start,q20.Union5.End,q20.Union5.Raison,q21.Children,q34.Feminism
1,m,1988,Ad,2010,2012,Mb,2009,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Ad,Ad,Ad,No Po,No,2010,0,20,,,,,,,,,,,,,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,na,na,na,na,,,,,,,,,,,,,na,na
2,w,1974,Po+,2005,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po+,Po+,Po+,Po+,Po+,Po+,Po+,Po+,Po,No,2005,0,45,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Parti socialiste suisse (PSS),Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,mar,2007,2012,,,,,,,,,,,,,Yes,Rather
3,m,1979,Po,2004,2007,Po+,2007,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Po,Po,Po+,Po+,Po+,Po+,Po+,Po,No,2004,0,50,,,,,,,,,,,,,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Parti socialiste suisse (PSS),Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,mar,2008,2012,,,,,,,,,,,,,Yes,Yes
4,m,1951,Ac,1974,2012,Po+,2001,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Po,Yes,1974,2001,1,2001,2011,45,,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Parti socialiste suisse (PSS),Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,mar,1974,2012,,,,,,,,,,,,,Yes,Rather
5,m,1991,Ad,2007,2010,Po,2010,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,Po,Po,Po,No,2007,0,42,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,cél,,,,,,,,,,,,,,,No,No
6,m,1951,Ac,1976,1985,Po+,1984,1986,Ac,1986,1987,Ac,1988,1994,Ac+,1995,2000,Ac,2000,2011,Ac+,2011,2012,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Po+,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac+,Po,Yes,1976,1984,2,1984,1986,50,1987,1992,2,1992,2000,5,2000,2011,1,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Parti socialiste suisse (PSS),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,na,na,na,,,,,,,,,,,,,Yes,Yes
7,na,na,Ac,1960,2006,Ac,2006,na,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,No Po,na,na,na,na,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,na,na,na,na,,,,,,,,,,,,,na,na
8,m,1961,Po+,2010,2012,Mb,1997,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Po+,Po+,Po+,Po,No,2010,2011,24,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Parti démocrate-chrétien (PDC) ,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,cél,,,,,,,,,,,,,,,No,Rather
