LSOA,all,a0-4,a5-7,a8-9,a10-14,a15,a16-17,a18-19,a20-24,a25-29,a30-44,a45-59,a60-64,a65-74,a75-84,a85-89,a90
Coventry 001A,1425,129,54,22,101,27,44,31,102,116,309,248,71,117,38,11,5
Coventry 001F,1897,120,64,53,113,27,51,37,114,184,473,345,86,127,73,20,10
Coventry 001G,1950,135,67,40,93,24,46,39,108,129,414,369,119,225,116,17,9
Coventry 001H,2180,197,83,42,131,32,57,59,175,186,468,376,104,159,79,19,13
Coventry 002A,1388,66,39,38,83,31,30,38,67,71,250,287,76,134,124,28,26
Coventry 002B,1540,116,74,40,109,25,55,47,99,112,367,265,73,99,46,6,7
Coventry 002C,1654,100,59,28,113,33,30,46,119,131,302,306,91,166,105,20,5
Coventry 002D,1619,69,36,32,84,20,42,42,108,98,246,357,82,190,177,27,9
Coventry 004A,1459,124,58,32,100,17,48,45,96,107,309,263,57,107,79,7,10
Coventry 004B,1499,137,56,35,99,19,50,46,104,106,294,273,78,106,77,15,4
Coventry 004C,1495,146,38,25,69,22,22,42,141,128,309,289,61,105,74,17,7
Coventry 004D,1581,139,72,50,106,21,33,41,106,110,347,271,59,113,75,26,12
Coventry 004E,1464,108,69,27,117,19,52,44,103,100,302,242,71,126,59,14,11
Coventry 005A,1657,180,93,51,162,25,48,50,129,171,357,220,47,57,52,12,3
Coventry 005B,1310,137,58,36,102,28,36,33,99,133,277,199,41,64,42,16,9
Coventry 005C,1478,121,70,38,116,23,33,33,74,111,331,247,56,114,83,19,9
Coventry 005D,1589,160,70,50,114,33,54,43,91,120,319,258,74,85,87,25,6
Coventry 006A,1504,71,45,32,91,31,49,42,55,60,284,309,79,135,119,59,43
Coventry 006B,1435,82,41,31,82,18,46,30,65,84,288,276,88,124,145,25,10
Coventry 006C,1610,113,77,36,112,21,41,39,122,116,363,307,74,101,56,22,10
Coventry 006D,1377,60,40,35,97,23,37,37,87,63,247,334,89,126,81,14,7
Coventry 007A,1293,133,93,33,111,13,41,32,89,96,273,199,53,62,54,9,2
Coventry 007B,1681,216,94,39,109,25,42,51,138,110,334,269,67,93,75,17,2
Coventry 007C,1569,150,51,42,119,24,58,51,110,88,290,257,62,121,99,37,10
Coventry 007D,1422,112,61,29,84,18,31,38,93,79,241,275,69,152,111,22,7
Coventry 007E,1062,136,76,36,107,20,42,36,82,66,205,163,18,43,30,2,0
Coventry 007F,1065,118,80,39,89,26,29,41,71,66,213,161,30,64,33,1,4
Coventry 008A,1575,114,58,31,81,15,33,35,114,135,321,319,81,111,87,25,15
Coventry 008B,1425,79,45,28,70,13,39,28,78,95,271,374,107,120,64,11,3
Coventry 008C,1740,111,63,31,96,28,33,51,107,135,347,362,76,147,115,22,16
Coventry 008D,1608,117,51,38,108,21,47,33,82,105,353,270,103,146,98,29,7
Coventry 008E,1671,110,54,47,99,26,46,38,117,112,293,344,67,193,102,18,5
Coventry 009A,1715,188,101,75,156,29,53,41,108,143,405,187,50,92,69,14,4
Coventry 009B,1581,205,96,46,114,21,71,51,123,153,401,198,34,43,20,3,2
Coventry 009C,1838,220,95,63,106,31,55,43,156,167,432,228,62,93,69,12,6
Coventry 009D,1788,174,98,63,142,27,66,43,144,151,426,246,43,76,76,9,4
Coventry 010A,1532,48,33,23,75,16,39,40,55,45,226,338,151,234,136,39,34
Coventry 010B,1615,100,53,44,112,22,51,41,75,77,296,326,104,156,87,40,31
Coventry 010C,1595,89,46,31,84,27,33,31,89,76,266,311,123,208,133,32,16
Coventry 010D,1539,87,49,43,79,8,34,26,66,85,260,299,117,182,126,48,30
Coventry 011A,1535,156,82,40,90,17,41,36,122,150,343,236,54,91,54,18,5
Coventry 011B,1628,164,70,36,106,23,55,37,131,143,359,266,61,88,68,16,5
Coventry 011C,2346,213,117,66,140,34,66,47,166,185,566,384,95,150,74,28,15
Coventry 011D,1638,137,69,52,101,24,38,42,113,131,421,237,68,112,64,15,14
Coventry 012A,1782,171,83,45,144,40,51,60,140,128,353,272,82,89,77,32,15
Coventry 012B,1523,130,52,38,83,22,41,43,131,104,312,280,78,108,63,31,7
Coventry 012C,1561,129,44,21,88,17,39,47,129,143,342,266,88,104,81,17,6
Coventry 012D,1511,103,54,35,81,28,39,37,86,118,330,264,64,141,87,32,12
Coventry 013A,1240,104,25,20,49,14,28,20,72,94,215,209,88,175,90,28,9
Coventry 013B,1438,106,36,27,61,20,29,24,77,86,234,240,83,217,152,31,15
Coventry 013C,1393,80,42,19,67,15,29,36,109,110,291,240,76,137,112,13,17
Coventry 013D,1411,83,43,20,87,16,30,36,93,73,252,239,56,167,156,29,31
Coventry 014A,1434,101,52,27,88,16,29,32,71,78,266,228,90,187,124,32,13
Coventry 014B,1541,96,51,41,90,21,59,51,97,82,327,315,89,115,66,28,13
Coventry 014C,1385,94,51,35,88,24,44,35,78,64,312,279,74,97,67,25,18
Coventry 014D,1474,114,58,35,104,20,40,35,100,91,357,263,59,120,63,8,7
Coventry 015A,1309,143,68,56,85,20,33,40,91,122,328,182,49,51,29,5,7
Coventry 015B,1802,185,83,60,118,37,61,44,172,168,417,242,59,102,44,7,3
Coventry 015C,1623,179,88,47,122,22,24,38,146,138,387,194,61,86,67,18,6
Coventry 015D,2176,302,134,78,140,35,46,74,210,254,532,219,46,71,26,7,2
Coventry 015E,1544,171,99,46,82,18,42,41,172,175,346,200,34,53,47,13,5
Coventry 015F,1600,186,87,45,103,32,35,57,148,176,349,185,57,79,35,14,12
Coventry 016A,1853,185,90,50,96,28,38,43,165,231,404,244,68,116,64,20,11
Coventry 016B,1604,118,59,23,88,20,40,44,123,156,354,250,85,104,96,28,16
Coventry 016C,1724,169,81,43,78,19,40,53,237,209,349,246,56,88,44,8,4
Coventry 016D,1440,89,59,25,66,13,31,28,104,128,307,317,87,113,57,9,7
Coventry 016E,1511,151,54,30,98,27,47,39,109,140,310,274,65,93,51,17,6
Coventry 017A,1499,106,63,45,97,22,28,32,85,105,364,280,81,111,55,18,7
Coventry 017B,1657,119,62,39,91,20,48,30,107,116,369,307,94,143,75,20,17
Coventry 017C,1751,108,61,31,75,21,43,24,151,173,370,294,75,142,112,45,26
Coventry 017D,1545,137,67,39,97,16,35,31,82,80,410,279,74,112,57,19,10
Coventry 017E,1446,74,46,32,93,18,24,36,70,71,264,287,91,150,132,42,16
Coventry 017F,1574,110,59,40,102,29,31,24,86,78,308,319,71,146,120,37,14
Coventry 018A,1309,70,50,25,89,20,42,43,84,67,274,283,67,108,51,24,12
Coventry 018B,1672,113,59,44,114,25,46,42,144,124,361,317,79,115,63,19,7
Coventry 018C,1597,126,52,39,121,25,38,46,112,97,351,295,65,113,79,22,16
Coventry 018D,1539,109,69,43,117,27,48,31,107,105,337,280,63,104,67,26,6
Coventry 018E,1743,121,79,58,149,29,57,37,91,104,381,315,84,116,81,26,15
Coventry 019A,1213,76,40,24,51,12,20,12,67,71,238,214,93,158,104,26,7
Coventry 019B,1397,106,54,32,84,27,51,41,91,90,307,251,84,93,58,16,12
Coventry 019C,1377,101,57,40,75,12,38,38,81,94,317,253,86,96,61,25,3
Coventry 019D,1458,98,48,37,80,21,35,26,72,98,310,319,114,113,69,17,1
Coventry 019E,1687,122,50,24,90,16,31,31,163,158,329,280,84,161,103,32,13
Coventry 020A,2758,266,105,46,129,34,49,81,335,378,700,336,61,112,80,25,21
Coventry 020B,1685,142,71,39,109,21,37,45,180,170,396,230,76,85,56,15,13
Coventry 020C,1329,96,53,42,87,16,35,37,112,153,291,201,51,88,39,15,13
Coventry 020D,1642,94,32,10,24,6,15,32,319,244,366,212,66,114,73,26,9
Coventry 020E,1600,63,22,13,23,6,23,146,454,195,304,188,59,58,31,9,6
Coventry 021A,1457,83,72,33,103,24,49,27,91,80,322,291,80,101,80,14,7
Coventry 021B,1764,134,72,67,116,23,42,28,122,162,391,346,60,117,55,21,8
Coventry 021C,1509,96,53,36,76,26,39,44,125,101,331,301,85,100,65,23,8
Coventry 021D,1773,115,69,42,108,23,45,45,190,192,401,279,73,97,74,12,8
Coventry 022A,1524,111,61,35,90,26,36,43,84,93,385,300,62,110,53,22,13
Coventry 022B,1274,48,42,18,73,8,34,22,65,38,188,219,72,223,175,35,14
Coventry 022C,1500,78,60,37,66,20,25,22,92,92,324,256,80,161,148,33,6
Coventry 022D,1428,93,33,41,62,18,45,29,71,75,260,271,77,146,139,45,23
Coventry 023A,1546,56,31,38,72,15,26,24,58,55,242,274,140,274,177,50,14
Coventry 023B,1516,65,47,34,68,20,27,39,76,79,264,286,115,209,132,27,28
Coventry 023C,1475,56,39,34,96,23,52,31,81,61,268,364,134,195,35,5,1
Coventry 023D,1459,68,47,33,78,20,42,30,81,58,247,325,109,223,75,19,4
Coventry 024A,2270,207,68,41,102,25,39,81,506,334,485,215,42,68,38,12,7
Coventry 024B,1488,162,103,59,130,31,47,44,115,134,351,183,36,53,37,3,0
Coventry 024C,1503,168,77,41,71,25,37,42,133,139,422,191,51,60,40,5,1
Coventry 024D,1746,197,82,55,125,22,45,50,168,171,391,217,57,96,58,10,2
