LSOA,wbrit,wirish,wother,mixed,indian,pakist,bangla,chinese,othasian,blafrican,blcarrb,blother,other,IMD
Coventry 001A,994,19,77,51,184,14,4,1,22,36,9,3,11,27.609
Coventry 001F,1297,14,106,54,253,26,0,7,58,25,18,15,24,27.56
Coventry 001G,1351,21,88,51,301,9,18,1,50,32,20,3,5,25.418
Coventry 001H,1502,28,128,111,247,46,10,4,37,36,19,5,7,41.88
Coventry 002A,1190,64,18,12,53,5,0,1,16,3,9,1,16,24.596
Coventry 002B,1132,32,56,45,150,6,1,3,51,33,9,4,18,20.662
Coventry 002C,1043,40,112,28,216,52,2,4,83,22,18,1,33,19.087
Coventry 002D,1015,58,38,16,337,29,4,2,50,8,7,5,50,15.642
Coventry 004A,878,31,47,75,266,21,19,2,44,27,17,6,26,30.697
Coventry 004B,1128,46,41,63,37,20,4,2,23,82,41,7,5,61.053
Coventry 004C,1029,64,69,75,31,11,0,6,24,109,35,24,18,76.39
Coventry 004D,1110,29,66,58,115,51,28,1,23,55,24,8,13,35.029
Coventry 004E,1094,38,45,42,73,49,13,0,33,35,22,2,18,44.128
Coventry 005A,610,18,93,65,301,211,8,0,116,96,44,46,49,48.794
Coventry 005B,554,16,87,60,255,129,8,16,79,39,17,16,34,41.009
Coventry 005C,863,37,58,45,230,48,5,2,65,44,32,3,46,30.407
Coventry 005D,857,29,74,43,183,102,17,10,119,52,31,16,56,34.923
Coventry 006A,1306,39,27,27,50,7,0,2,7,6,11,1,21,26.275
Coventry 006B,935,49,49,23,228,7,0,4,56,17,16,1,50,14.472
Coventry 006C,1344,41,50,45,72,0,0,2,16,10,21,2,7,20.158
Coventry 006D,1143,38,25,33,71,4,0,1,19,9,12,0,22,17.529
Coventry 007A,861,24,70,65,19,0,0,0,28,178,18,21,9,76.831
Coventry 007B,1140,34,85,67,16,4,6,4,31,228,25,20,21,63.505
Coventry 007C,1100,53,59,79,18,11,5,0,25,132,41,33,13,51.352
