LSOA,spown,cpncown,othown,cpdcown,lpdcown,othdcown,cpndcown,lpndcown,sp65own,cp65own,spsr,cpncsr,othsr,cpdcsr,lpdcsr,othdcsr,cpndcsr,lpndcsr,sp65sr,cp65sr,sppr,cpncpr,othpr,cpdcpr,lpdcpr,othdcpr,cpndcpr,lpndcpr,sp65pr,cp65pr
Coventry 001A,78,68,16,85,13,16,31,7,37,31,19,8,0,10,19,3,1,4,9,2,29,17,7,20,46,5,1,5,3,1
Coventry 001F,124,93,15,126,33,19,37,11,42,35,39,8,4,9,14,5,4,5,47,3,61,33,12,16,33,5,0,3,15,1
Coventry 001G,88,85,23,106,25,17,61,21,90,78,11,3,1,9,17,5,1,5,13,2,46,24,12,22,41,6,0,5,12,2
Coventry 001H,124,81,23,86,23,16,31,18,75,28,24,8,6,15,51,7,3,7,15,4,117,44,17,54,78,5,2,7,20,5
Coventry 002A,31,80,8,96,25,12,37,19,63,50,2,5,2,9,9,2,6,0,3,0,14,4,5,11,15,3,1,1,7,3
Coventry 002B,69,80,16,103,38,8,35,24,51,26,1,1,0,5,4,0,2,2,0,0,9,17,10,34,31,9,2,2,1,0
Coventry 002C,55,76,15,90,12,18,61,20,74,69,2,1,0,2,4,1,1,2,1,1,15,10,14,32,39,5,3,2,7,1
Coventry 002D,38,57,27,92,14,17,83,26,106,90,0,1,0,3,4,0,0,1,1,0,17,7,9,16,14,5,2,5,6,1
Coventry 004A,57,54,13,91,22,10,36,29,59,37,12,1,0,6,10,3,2,2,5,2,14,6,8,31,40,6,1,3,5,1
Coventry 004B,36,44,12,55,14,15,27,5,33,23,75,24,9,34,74,8,10,16,41,6,24,6,10,12,23,6,1,0,7,0
Coventry 004C,38,21,12,24,7,9,21,14,34,11,243,23,14,34,79,11,4,26,70,13,27,7,5,16,20,2,3,2,11,2
Coventry 004D,50,68,20,79,13,13,32,20,53,32,15,7,1,24,28,5,3,11,14,7,14,9,7,26,48,7,1,7,6,1
Coventry 004E,45,50,7,66,25,9,28,15,46,27,59,4,3,18,31,7,8,17,38,3,35,14,4,22,35,6,2,3,7,3
Coventry 005A,31,19,17,59,11,21,19,16,34,8,16,8,3,27,33,9,6,10,3,1,75,22,29,37,48,11,1,4,5,4
Coventry 005B,44,30,10,47,15,25,17,20,26,13,7,3,2,22,27,5,5,7,6,1,33,15,5,31,38,8,2,2,10,5
Coventry 005C,45,56,18,92,27,11,44,19,50,45,2,2,1,3,7,1,3,3,1,0,18,10,8,24,30,4,3,3,6,1
Coventry 005D,53,56,14,76,22,20,35,28,45,26,11,3,2,17,48,2,4,7,14,3,15,11,7,31,42,7,0,1,9,1
Coventry 006A,52,69,10,104,17,9,43,14,89,54,45,5,3,6,13,4,4,3,66,4,13,7,3,17,13,0,3,1,6,3
Coventry 006B,35,89,18,89,16,20,52,23,103,54,4,0,0,1,0,0,0,0,3,1,5,6,4,26,20,2,0,0,3,1
Coventry 006C,62,81,21,122,37,14,50,17,59,38,38,1,0,1,6,0,0,3,8,0,16,9,5,29,30,3,0,0,4,0
Coventry 006D,35,99,22,103,16,6,54,20,37,49,5,7,0,5,6,0,2,6,5,4,7,1,4,15,12,1,2,1,7,1
Coventry 007A,29,22,4,28,7,2,6,4,19,8,98,20,9,54,92,21,10,13,33,2,16,4,4,8,8,2,0,0,2,2
Coventry 007B,22,25,5,29,6,6,16,8,22,15,102,35,12,62,118,28,18,34,61,8,10,5,10,10,17,4,1,2,3,1
Coventry 007C,32,28,10,47,18,10,17,17,39,24,55,24,6,49,71,14,17,21,68,14,6,8,4,8,20,1,0,2,6,2
Coventry 007D,47,59,14,65,15,7,36,18,64,67,29,8,4,23,42,9,4,5,16,5,15,5,4,10,16,4,3,2,5,2
Coventry 007E,7,5,1,10,1,3,1,6,1,3,59,23,10,64,89,19,13,22,21,9,5,0,1,4,6,2,0,1,4,0
Coventry 007F,6,8,1,6,3,2,7,3,9,5,61,16,6,43,75,14,11,19,27,9,56,4,1,12,12,3,0,1,7,2
Coventry 008A,66,79,11,110,17,11,47,15,37,20,36,11,1,12,18,6,4,12,54,9,23,18,6,17,22,5,2,5,8,2
Coventry 008B,49,115,16,97,14,15,72,17,46,46,7,1,0,4,14,1,0,0,2,1,8,7,3,10,7,4,1,0,3,4
Coventry 008C,51,97,14,101,22,8,51,20,70,44,25,11,8,17,21,3,6,8,29,8,31,24,6,17,35,1,1,1,4,4
Coventry 008D,53,76,12,83,18,16,31,20,37,62,16,8,4,11,17,1,4,5,29,5,37,24,5,39,32,9,0,4,12,2
Coventry 008E,56,81,17,122,36,19,53,29,75,80,1,1,0,2,2,0,2,2,0,1,11,10,5,18,18,3,1,2,3,1
Coventry 009A,15,12,20,90,6,51,33,25,40,19,3,1,0,10,4,0,0,4,1,0,15,13,16,32,33,6,0,2,3,4
Coventry 009B,33,19,13,59,3,14,10,8,10,5,25,10,2,45,46,4,2,7,3,0,76,27,41,38,39,13,1,5,7,4
Coventry 009C,46,25,15,77,7,41,21,10,35,14,30,6,6,22,27,3,1,3,26,2,74,10,28,57,41,11,3,4,15,0
Coventry 009D,20,25,16,90,7,47,32,18,24,20,15,4,3,17,17,4,1,7,3,0,31,17,24,46,30,10,3,4,3,3
Coventry 010A,41,107,21,110,10,15,58,15,83,98,1,1,0,1,0,0,0,0,0,1,12,10,5,10,3,0,1,0,3,3
Coventry 010B,37,95,15,134,13,12,42,26,63,72,2,0,0,4,3,1,2,0,2,0,14,5,6,15,24,2,2,2,6,0
Coventry 010C,57,124,8,112,16,10,52,13,99,112,3,3,0,1,11,2,0,1,0,0,14,9,3,17,11,0,0,0,1,0
Coventry 010D,96,97,13,80,17,9,38,19,92,74,15,5,1,6,24,0,0,1,48,4,40,21,5,12,22,5,0,2,15,0
Coventry 011A,44,46,20,91,22,18,33,10,53,26,6,0,0,6,2,2,1,0,1,0,31,26,12,47,46,4,6,9,7,3
Coventry 011B,53,64,14,95,17,13,36,20,57,25,2,1,1,5,5,5,0,1,1,1,30,15,27,49,62,4,7,4,3,5
Coventry 011C,86,82,25,174,24,32,52,32,64,42,5,6,4,2,13,0,1,4,15,0,24,29,24,44,62,11,5,1,4,0
