LSOA,bornhere,arrpre61,arr6170,arr7180,arr8190,arr9100,arr0111,l4bornhere,l4arrpre61,l4arr6170,l4arr7180,l4arr8190,l4arr9100,l4arr0111,IMD
Coventry 001A,882,18,21,20,12,37,102,131,1,6,6,3,10,23,27.609
Coventry 001F,1239,16,57,29,19,36,124,239,1,8,6,5,6,34,27.56
Coventry 001G,1273,40,86,36,15,41,100,233,6,6,8,2,11,26,25.418
Coventry 001H,1361,32,46,32,27,58,139,222,7,6,4,8,15,31,41.88
Coventry 002A,1010,41,23,9,10,9,29,186,1,1,3,1,5,5,24.596
Coventry 002B,960,27,35,22,11,20,101,188,2,1,6,3,6,21,20.662
Coventry 002C,1016,38,53,34,20,26,134,167,1,6,1,3,7,20,19.087
Coventry 002D,1065,63,99,51,26,24,50,205,3,9,5,1,3,10,15.642
Coventry 004A,847,39,62,20,19,27,114,135,2,8,1,5,5,26,30.697
Coventry 004B,940,30,21,10,15,38,99,88,1,1,1,6,6,30,61.053
Coventry 004C,930,32,32,12,10,40,139,70,0,2,2,3,10,33,76.39
Coventry 004D,962,33,27,14,14,46,97,90,0,3,4,2,14,23,35.029
Coventry 004E,903,34,34,15,16,42,80,80,2,1,2,3,5,16,44.128
Coventry 005A,632,25,56,44,41,82,266,89,0,7,3,8,13,53,48.794
Coventry 005B,597,30,50,34,34,54,150,95,0,4,4,6,10,34,41.009
Coventry 005C,808,44,57,29,17,47,108,95,5,5,6,5,12,21,30.407
Coventry 005D,792,53,62,31,22,51,151,100,3,6,4,3,9,17,34.923
Coventry 006A,1135,31,21,9,6,11,21,225,3,4,2,0,2,5,26.275
Coventry 006B,931,58,58,37,19,22,56,209,4,6,3,3,5,10,14.472
Coventry 006C,1124,28,19,7,9,14,50,219,2,3,1,2,2,9,20.158
Coventry 006D,1002,29,27,12,9,18,25,185,3,7,2,2,2,6,17.529
Coventry 007A,664,18,8,6,6,57,151,47,1,1,1,1,14,18,76.831
Coventry 007B,880,32,14,11,6,53,202,59,1,1,1,2,4,40,63.505
Coventry 007C,929,42,26,3,9,52,122,73,1,3,0,4,9,36,51.352
Coventry 007D,988,18,8,3,8,24,69,130,1,2,1,1,4,11,32.68
Coventry 007E,507,14,9,5,5,23,124,26,1,2,0,1,6,15,85.056
Coventry 007F,482,14,19,0,6,44,148,32,1,0,0,0,6,31,78.537
Coventry 008A,1072,41,28,6,14,25,90,227,5,4,2,5,17,44,24.45
Coventry 008B,995,12,47,23,13,37,63,280,3,9,7,1,16,27,10.4
Coventry 008C,1172,34,32,23,12,28,110,240,4,5,4,7,16,60,19.155
Coventry 008D,962,23,36,25,6,29,192,194,4,5,4,3,16,118,23.127
Coventry 008E,1157,38,28,14,7,20,71,197,3,7,4,1,1,27,16.014
Coventry 009A,418,48,147,99,91,109,254,92,0,9,10,8,9,43,37.694
Coventry 009B,540,19,27,33,30,92,358,92,1,5,5,5,23,79,49.808
Coventry 009C,531,46,92,68,61,116,409,84,2,7,4,8,11,79,52.598
Coventry 009D,498,43,135,97,87,100,324,109,1,12,12,14,13,74,39.631
Coventry 010A,1263,25,14,8,4,3,20,361,6,5,4,0,0,3,15.157
Coventry 010B,1194,24,10,8,5,10,33,319,4,4,2,2,3,17,14.112
Coventry 010C,1247,16,15,6,6,4,24,353,3,1,3,3,2,8,8.364
Coventry 010D,1185,22,6,13,7,9,31,302,5,2,2,4,3,9,16.39
Coventry 011A,757,36,62,33,23,48,191,127,4,4,5,5,11,34,32.892
Coventry 011B,842,45,57,25,26,47,187,121,3,3,3,5,5,37,28.754
Coventry 011C,1183,48,104,78,34,91,238,282,2,10,14,8,29,63,21.547
Coventry 011D,910,43,61,27,26,43,145,166,1,3,3,4,8,33,26.397
Coventry 012A,1097,37,33,13,9,24,86,110,1,6,1,0,7,14,46.9
Coventry 012B,954,36,46,25,19,21,97,134,0,7,5,0,5,26,40.323
Coventry 012C,931,45,51,26,11,23,175,165,4,3,3,2,5,42,39.059
Coventry 012D,919,44,62,19,19,24,123,176,2,6,7,5,5,45,21.491
Coventry 013A,860,24,20,5,10,15,94,79,1,1,1,2,7,23,33.793
Coventry 013B,936,39,45,22,13,19,114,151,3,3,4,4,4,29,22.281
Coventry 013C,952,27,11,20,7,17,136,186,4,4,7,4,8,51,18.833
Coventry 013D,991,49,20,14,11,19,58,140,3,0,3,0,3,10,22.114
Coventry 014A,956,54,31,29,12,15,53,196,3,5,6,4,2,17,23.079
Coventry 014B,1085,29,22,12,13,17,64,214,5,3,4,3,5,23,13.624
Coventry 014C,1014,26,20,4,8,11,10,247,1,3,1,4,7,1,10.615
Coventry 014D,973,33,29,14,15,17,62,220,3,8,5,4,3,20,12.628
